top - 18:42:51 up 4 min,  2 users,  load average: 0,12, 0,25, 0,12
Tareas: 185 total,   1 ejecutar,  184 hibernar,    0 detener,    0 zombie
%Cpu(s): 13,3 us,  0,0 sy,  0,0 ni, 86,7 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   3916,7 total,   2287,4 libre,    737,1 usado,    892,2 búfer/caché
MiB Intercambio:   2680,0 total,   2680,0 libre,      0,0 usado.   2928,7 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
   1342 bernat    20   0 3737880 330056 137508 S  12,5   8,2   0:08.19 gnome-shell
   1822 bernat    20   0  566780  55192  42444 S   6,2   1,4   0:00.97 gnome-terminal-
      1 root      20   0  101132  11972   8388 S   0,0   0,3   0:00.74 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0,0   0,0   0:00.00 pool_workqueue_release
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-rcu_g
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-rcu_p
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-slub_
      7 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-netns
      8 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker/0:0-cgroup_release
      9 root      20   0       0      0      0 I   0,0   0,0   0:00.10 kworker/0:1-events
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/0:0H-kblockd
     11 root      20   0       0      0      0 I   0,0   0,0   0:00.68 kworker/u2:0-events_unbound
     12 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-mm_pe
     13 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tasks_kthread
     14 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tasks_rude_kthread
     15 root      20   0       0      0      0 I   0,0   0,0   0:00.00 rcu_tasks_trace_kthread
     16 root      20   0       0      0      0 S   0,0   0,0   0:00.11 ksoftirqd/0
     17 root      20   0       0      0      0 I   0,0   0,0   0:00.22 rcu_preempt
     18 root      rt   0       0      0      0 S   0,0   0,0   0:00.00 migration/0
     19 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/0
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmpfs
     22 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-inet_
     23 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.00 khungtaskd
     25 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/u2:1-events_unbound
     26 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_reaper
     27 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/u2:2-events_power_efficient
     28 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-write
     29 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kcompactd0
     30 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     31 root      39  19       0      0      0 S   0,0   0,0   0:00.00 khugepaged
     32 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kinte
     33 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kbloc
     34 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-blkcg
     35 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/9-acpi
     36 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-tpm_d
     37 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-ata_s
     38 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-md
     39 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-md_bi
     40 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-edac-
     41 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-devfr
     42 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdogd
     43 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-quota
     44 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker/0:1H-kblockd
     45 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kswapd0
     46 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ecryptfs-kthread
     47 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kthro
     48 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-acpi_
     49 root      20   0       0      0      0 S   0,0   0,0   0:00.01 scsi_eh_0
     50 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-scsi_
     51 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_1
     52 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-scsi_
     53 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker/u2:3-events_power_efficient
     54 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/u2:4-loop7
     55 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/u2:5-loop7
     56 root      20   0       0      0      0 I   0,0   0,0   0:00.48 kworker/u2:6-events_unbound
     57 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-mld
     58 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-ipv6_
     60 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/0:2-cgroup_release
     61 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/0:3-inet_frag_wq
     67 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kstrp
     69 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/u3:0
     82 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-charg
    125 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_2
    126 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-scsi_
    155 root      20   0       0      0      0 S   0,0   0,0   0:00.00 jbd2/sda3-8
    156 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-ext4-
    195 root      19  -1   40048  17288  15792 S   0,0   0,4   0:00.17 systemd-journal
    212 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker/0:4-cgroup_free
    224 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/18-vmwgfx
    225 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-ttm
    242 root      20   0   27060   7164   4644 S   0,0   0,2   0:00.10 systemd-udevd
